start,end,trips,start_lat,start_long,end_lat,end_long,dist_miles,width
95402,95407,253,38.4399,-122.7096,38.4089,-122.7339,2.5135346,1.5
95472,94952,253,38.3941,-122.8433,38.2403,-122.6777,13.910896,1.5
95402,95405,242,38.4399,-122.7096,38.4386,-122.6727,1.9989943,1.5
95448,95409,242,38.6184,-122.862,38.4592,-122.6393,16.304815,1.5
95472,95492,238,38.3941,-122.8433,38.5443,-122.8073,10.558962,1.5
94931,95407,236,38.3259,-122.7048,38.4089,-122.7339,5.94747,1.5
94952,95409,232,38.2403,-122.6777,38.4592,-122.6393,15.266983,1.5
94955,95407,228,38.2324,-122.6367,38.4089,-122.7339,13.284546,1.5
95472,95405,225,38.3941,-122.8433,38.4386,-122.6727,9.7339078,1.5
94951,95403,223,38.3153,-122.6483,38.4822,-122.7473,12.716802,1.5
95448,95405,215,38.6184,-122.862,38.4386,-122.6727,16.094201,1.5
95405,95472,214,38.4386,-122.6727,38.3941,-122.8433,9.7339078,1.5
95407,94931,213,38.4089,-122.7339,38.3259,-122.7048,5.94747,1.5
95472,94954,212,38.3941,-122.8433,38.2507,-122.6155,15.831753,1.5
94952,95405,209,38.2403,-122.6777,38.4386,-122.6727,13.703885,1.5
95402,95409,204,38.4399,-122.7096,38.4592,-122.6393,4.0309534,1.5
95407,95448,204,38.4089,-122.7339,38.6184,-122.862,16.046453,1.5
95401,94931,202,38.4432,-122.7547,38.3259,-122.7048,8.5433679,1.5
95441,95403,199,38.7173,-122.8834,38.4822,-122.7473,17.828962,1.5
95472,95436,199,38.3941,-122.8433,38.4923,-122.9042,7.5430088,1.5
95404,94931,196,38.4405,-122.7144,38.3259,-122.7048,7.9351475,1.5
94931,95403,195,38.3259,-122.7048,38.4822,-122.7473,11.041735,1.5
95402,94928,194,38.4399,-122.7096,38.347,-122.6941,6.4734185,1.5
95405,94954,193,38.4386,-122.6727,38.2507,-122.6155,13.347529,1.5
94953,94954,191,38.2324,-122.6367,38.2507,-122.6155,1.709462,1.5
95402,95492,183,38.4399,-122.7096,38.5443,-122.8073,8.9413525,1.5
95492,95405,182,38.5443,-122.8073,38.4386,-122.6727,10.311222,1.5
94952,95492,181,38.2403,-122.6777,38.5443,-122.8073,22.145883,1.5
95409,94928,179,38.4592,-122.6393,38.347,-122.6941,8.3007149,1.5
95409,95492,175,38.4592,-122.6393,38.5443,-122.8073,10.82092,1.5
95448,95472,175,38.6184,-122.862,38.3941,-122.8433,15.530579,1.5
95472,95409,173,38.3941,-122.8433,38.4592,-122.6393,11.923087,1.5
95492,95472,170,38.5443,-122.8073,38.3941,-122.8433,10.558962,1.5
94951,95404,167,38.3153,-122.6483,38.4405,-122.7144,9.3621171,1.5
94931,94954,166,38.3259,-122.7048,38.2507,-122.6155,7.1028146,1.5
94951,94954,164,38.3153,-122.6483,38.2507,-122.6155,4.8048692,1.5
94955,94952,162,38.2324,-122.6367,38.2403,-122.6777,2.2910561,1.5
